sender,requestkey,token0,token0amount,token1,token1amount,time
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/U0HZzIhI2nib_6-HuvJucjcxZ3PqIUa1XDgrMnAciAY,BRO,0.01,KDA,2260.949,2025-06-13 04:16:30
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/V48QJTUQHkX1htW8En1IRaOTFJ2b7J2AIGjiFflTcW0,BRO,0.02,HERON,9221480.7,2025-06-13 04:16:33
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/UEgW6BirWZURuv7hBCw_9gCaS9_dG4EXAFlrcqoWidY,BRO,0.0177,HERON,9087505.3,2025-06-13 04:16:33
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/Wo3A2pB-K42QAcPHm0-1mfOxuBAUbvD6x3frYm2xz2M,KDA,2194.1212,BRO,0.00911,2025-06-13 04:16:31
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/c7D32ARdl3voI95sKuMh9n8CW7xeOtnegiX7Wf0kdRc,BRO,0.01,KDA,2294.2817,2025-06-13 04:16:30
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/uBcagyr7ScumUJMJyOfx_cGcM2n2vNClLiZYo3SeIMY,KDA,2160.6212,BRO,0.00925,2025-06-13 04:16:31
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/qpffOovD6dSmbrICJmrMzwG_rJfz6fmU-UTQsYJ3S4I,BRO,0.0186,HERON,10192633.0,2025-06-13 04:16:34
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/7TEID67u3X5qFlOkhNFVULgmk8oYHl1TxWFyWCwrrG8,HERON,8684254.8,BRO,0.0115,2025-06-13 04:16:35
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/6A7GWXIx1LIn-XmDfs25VW-CVQ4nlIc4e5fJbZSUGrQ,BRO,0.00258,HERON,9488825.3,2025-06-13 04:16:33
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/CA5H6fCCBCf6JqtKhp8xA-PpQqq7B5Rx05BOA1czkb0,BRO,0.0299,KDA,2501.1931,2025-06-13 04:17:51
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/ObTVGdMfPka5SEChMeKuSr6Fwlk7NLcOjzp7mKaWA1Y,HERON,8441061.2,BRO,0.0119,2025-06-13 04:17:55
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/yP94rvUWh9qs5-hzV82ojFI2suCxOrUL3TnnxDWfUSw,BRO,0.0109,HERON,9116503.2,2025-06-13 04:17:54
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/ytqqFRVZz7R-wsAtb_1joRH7VOzSo4h6nF5WQ1YzJ8g,BRO,0.0109,HERON,9049294.0,2025-06-13 05:05:48
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/AQss0BEp8WiQ_Lcj8AxESUInnLABfBBmUvp4Oq9nqXU,BRO,0.0165,HERON,10149775.0,2025-06-13 05:05:49
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/WjbrKVNQRLOSlMyWPPpXSz0cnMVGeyJgF0OeOxnvRpQ,BRO,0.00898,HERON,9553065.4,2025-06-13 19:42:44
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/ELu5aFHxMSSz93DPrEDgOEXOGL-ZuE8Y0hgmJR7fOTU,BRO,0.01,KDA,2134.6489,2025-06-13 19:42:39
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/MTmwQdOOXDY300xKPHAx6_HLd9gRaLDaov6yUk2gSrM,BRO,0.0184,HERON,8517281.9,2025-06-13 19:42:44
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/FFw_XOSTazM7Cf6KkGOlIe30Yt1C-rnEH5zXFS7a9LY,BRO,0.0299,KDA,2354.0005,2025-06-13 19:42:40
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/JW8tWCl9rfbFbygC8wOZVf35SvHW3wWi0xMhZNkFU5I,KDA,1976.4927,BRO,0.0101,2025-06-13 19:42:40
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/7eFpum8tzonnkVLee81PPmJ9LvxX_4su55ETqfYFh2c,KDA,1870.7201,BRO,0.0534,2025-06-13 19:42:41
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/OmpE4RPLnGXQh-Q3lXvDne7mzxkQ3Jbf13VPveFKDkk,HERON,8265533.4,BRO,0.012,2025-06-13 19:42:46
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/LDupAEtqPndB0vfXJJfsKKRrdEXETInlyh_N8fQf0xc,BRO,0.02,HERON,8642850.6,2025-06-13 19:42:44
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/wKK3Oee7m6b4lniU2M1DTmx6CxYCtvodJ3Lf5DTlwA4,KDA,2071.5543,BRO,0.00965,2025-06-13 19:42:40
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/LbRr0ddfbWcfst9LhRKpGs-MrR_tm4tAWcbu1JtDn98,BRO,0.01,KDA,2166.1196,2025-06-13 19:42:40
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/9YUhiNJLDslhZh4IrscZ4SSUDsjyfwFtSVUXSRW0O7Q,HERON,7108557.2,BRO,0.0984,2025-06-13 19:42:46
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/X0NHQYTpYol6q5_bSYy0EcUdBDP41sZp00UDZL9gVB0,BRO,0.0291,HERON,8893419.9,2025-06-13 19:42:44
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/P38ASPYCnqRcaXTbCOBm9YruAqVErbp2u3GxWv4lzfA,KDA,2039.9256,BRO,0.0098,2025-06-13 19:44:00
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/5FAK9Yu5MMWJjfAPX7cfQF7Aj4XV922rMhOtnDknzzA,BRO,0.0183,HERON,8570354.5,2025-06-13 19:46:04
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/NQUOeA1XLeexIO3Z2lwtV-qqKcWMUTQnD90e0oaXJuc,KDA,2084.4625,BRO,0.00959,2025-06-13 19:46:03
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/wZ4uszTY6Z3kT_LRjfJz1sGeuIrF3-w22KH7-E_Ahcc,BRO,0.00672,HERON,9612592.2,2025-06-13 19:46:04
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,https://explorer.kadena.io/mainnet/transaction/WtFSpQoj2TCCR90E0feL-cVCQdhQgV-FgYy98fxuSL0,BRO,0.01,KDA,2147.9503,2025-06-13 19:46:03
