sender,requestkey,token0,token0amount,token1,token1amount,time
k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78,https://explorer.kadena.io/mainnet/transaction/icz3cljgY_VGG1whjQ70Tg32bE5ycWOMtaRO5wSideU,free.crankk01,4639.0,coin,34.636809254375,2025-06-13 02:31:49
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,https://explorer.kadena.io/mainnet/transaction/Ac-ohlVlBYW9dgQvMdlKxGmNOvx63l9qry-tma5Be9E,free.crankk01,1000.0,coin,7.397143709946,2025-06-13 02:32:38
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,https://explorer.kadena.io/mainnet/transaction/3TQyqB9F3jc9lVG0xCuqiUPnlASXme3dVCSpRfWNthc,free.crankk01,1000.0,coin,7.372858320777,2025-06-13 02:32:47
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,https://explorer.kadena.io/mainnet/transaction/_HrZ-xBMMjwXhZguy1BLQZFmzMNJas8Qd8kl7GTR0Zg,free.crankk01,1000.0,coin,7.34869239129,2025-06-13 02:32:56
k:fea29be0591af42646ca25dce0e356e77eae3ef8aff793f118a54dea2de88a37,https://explorer.kadena.io/mainnet/transaction/ie4TfgNGcqLauPlwe03gTPTEpeSD6Dt-1lcMg4L1xBM,coin,163.0,n_625e9938ae84bdb7d190f14fc283c7a6dfc15d58.ktoshi,1375245172.3586438,2025-06-13 03:58:01
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/eupQFIvIcZ_U776iE8uOog-7BY6rnHC8A7vTXdTO6Ok,n_582fed11af00dc626812cd7890bb88e72067f28c.bro,0.097015680644,coin,218.820246366154,2025-06-13 04:15:50
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/yy-bZ0pIKH6HoqvCxzjGdqswGI4-AXp-FfS5nGj1p4E,coin,210.790267524787,n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI,93158.2601038631,2025-06-13 04:17:11
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/BpWVFteDR3eJchmpkPV9udslbLEApAxkJA6nj9HjO2E,free.maga,32246.203498493767,coin,65.031808729171,2025-06-13 04:18:29
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/0V1djyYUgsZMupTnGeYpzaOeyVSOud7hGRoOketmrF4,free.kishu-ken,306433472213.46643,coin,204.299845861214,2025-06-13 04:55:34
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,https://explorer.kadena.io/mainnet/transaction/LyyO7p4BslnX8IF4IbwExMNODaIOgjlpudh1WR6kEik,coin,208.53,n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron,832551.8865377638,2025-06-13 05:02:47
