"sender","requestkey","data","code","result","creationtime"
k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78,icz3cljgY_VGG1whjQ70Tg32bE5ycWOMtaRO5wSideU,"{""a"": 4639, ""b"": 34.63334557345, ""ks"": {""keys"": [""b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78""], ""pred"": ""keys-all""}}","""(kaddex.exchange.swap-exact-in (read-decimal 'a) (read-decimal 'b) [free.crankk01 coin] \""k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78\"" \""k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78\"" (read-keyset 'ks))""","{""data"": [{""token"": ""free.crankk01"", ""amount"": 4639}, {""token"": ""coin"", ""amount"": 34.636809254375}], ""status"": ""success""}","1749781909"
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,Ac-ohlVlBYW9dgQvMdlKxGmNOvx63l9qry-tma5Be9E,"{""user-ks"": {""keys"": [""407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1""], ""pred"": ""keys-all""}, ""token0Amount"": 1000, ""token1Amount"": 7.397143709946, ""token0AmountWithSlippage"": 1010, ""token1AmountWithSlippage"": 7.323172272846}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [free.crankk01 coin]\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""free.crankk01"", ""amount"": 1000}, {""token"": ""coin"", ""amount"": 7.397143709946}], ""status"": ""success""}","1749781958"
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,"3TQyqB9F3jc9lVG0xCuqiUPnlASXme3dVCSpRfWNthc","{""user-ks"": {""keys"": [""407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1""], ""pred"": ""keys-all""}, ""token0Amount"": 1000, ""token1Amount"": 7.397143709946, ""token0AmountWithSlippage"": 1010, ""token1AmountWithSlippage"": 7.323172272846}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [free.crankk01 coin]\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""free.crankk01"", ""amount"": 1000}, {""token"": ""coin"", ""amount"": 7.372858320777}], ""status"": ""success""}","1749781967"
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,_HrZ-xBMMjwXhZguy1BLQZFmzMNJas8Qd8kl7GTR0Zg,"{""user-ks"": {""keys"": [""407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1""], ""pred"": ""keys-all""}, ""token0Amount"": 1000, ""token1Amount"": 7.397143709946, ""token0AmountWithSlippage"": 1010, ""token1AmountWithSlippage"": 7.323172272846}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [free.crankk01 coin]\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""free.crankk01"", ""amount"": 1000}, {""token"": ""coin"", ""amount"": 7.34869239129}], ""status"": ""success""}","1749781976"
k:fea29be0591af42646ca25dce0e356e77eae3ef8aff793f118a54dea2de88a37,ie4TfgNGcqLauPlwe03gTPTEpeSD6Dt-1lcMg4L1xBM,"{""user-ks"": {""keys"": [""fea29be0591af42646ca25dce0e356e77eae3ef8aff793f118a54dea2de88a37""], ""pred"": ""keys-all""}, ""token0Amount"": 163, ""token1Amount"": 1375245172.3586435, ""token0AmountWithSlippage"": 164.63, ""token1AmountWithSlippage"": 1361492720.635057}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [coin n_625e9938ae84bdb7d190f14fc283c7a6dfc15d58.ktoshi]\n            \""k:fea29be0591af42646ca25dce0e356e77eae3ef8aff793f118a54dea2de88a37\""\n            \""k:fea29be0591af42646ca25dce0e356e77eae3ef8aff793f118a54dea2de88a37\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""coin"", ""amount"": 163}, {""token"": ""n_625e9938ae84bdb7d190f14fc283c7a6dfc15d58.ktoshi"", ""amount"": {""decimal"": ""1375245172.358643788547605""}}], ""status"": ""success""}","1749787081"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,eupQFIvIcZ_U776iE8uOog-7BY6rnHC8A7vTXdTO6Ok,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        0.097015680644\n        218.820246366154\n        [n_582fed11af00dc626812cd7890bb88e72067f28c.bro coin]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        n_582fed11af00dc626812cd7890bb88e72067f28c.bro.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 0.000683897043)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788150"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,s3agkdmlTUCHFc5bW3N91PvWP0phliQ3m_J05vqXZJc,"{""k"": {""keys"": [""f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662""], ""pred"": ""keys-all""}}","""(kaddex.exchange.swap-exact-in 0.010900000000 95158.576050177286 [n_582fed11af00dc626812cd7890bb88e72067f28c.bro , coin , n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron] \""k:f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662\""  \""k:f1681be4599dcefa09952f982b781e40b5d26f671968d7f88e2797bdc4cc7662\"" (read-keyset 'k))""","{""data"": [{""token"": ""n_582fed11af00dc626812cd7890bb88e72067f28c.bro"", ""amount"": 0.0109}, {""token"": ""coin"", ""amount"": 24.241505839886}, {""token"": ""n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron"", ""amount"": {""decimal"": ""97100.587806300027""}}], ""status"": ""success""}","1749788238"
k:7b9c8a048b89df9b3bc57d6e133381b094030c93fa3b1dfb3b653a42b0c1d50e,vbhn7IxVe5WAumabwkhTb6Ycdsv5GL8VeVNvR1-eF3Q,"{""k"": {""keys"": [""bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c""], ""pred"": ""keys-all""}}","""(kaddex.exchange.swap-exact-in 99281.085850000000 0.010744734438 [n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron , coin , n_582fed11af00dc626812cd7890bb88e72067f28c.bro] \""k:bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c\""  \""k:bae5d2ddfc6db7a26e25e191951261fdf99486044ff3c4f4a960993c1702d37c\"" (read-keyset 'k))""","{""data"": [{""token"": ""n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron"", ""amount"": {""decimal"": ""99281.085850000000""}}, {""token"": ""coin"", ""amount"": 24.637209176913}, {""token"": ""n_582fed11af00dc626812cd7890bb88e72067f28c.bro"", ""amount"": 0.011011362353}], ""status"": ""success""}","1749788237"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,yy-bZ0pIKH6HoqvCxzjGdqswGI4-AXp-FfS5nGj1p4E,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        210.790267524787\n        93158.2601038631\n        [coin n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        coin.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 1.485933406519)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788231"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,BpWVFteDR3eJchmpkPV9udslbLEApAxkJA6nj9HjO2E,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        32246.203498493767\n        65.031808729171\n        [free.maga coin]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        free.maga.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 227.314626877599)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788309"
