"sender","requestkey","data","code","result","creationtime"
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,lRhTKB1p0hYBBy5ccB4SEB3MfpYWjSv8qhT6EcSdfWM,"{""keyset"": {""keys"": [""d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd""], ""pred"": ""keys-all""}, ""in-amount"": 0.0149, ""out-amount"": 32.03684}","""(kdlaunch.kdswap-exchange.swap-exact-in (read-decimal 'in-amount) (read-decimal 'out-amount) [n_582fed11af00dc626812cd7890bb88e72067f28c.bro coin] \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" (read-keyset 'keyset))""","{""data"": [{""token"": ""n_582fed11af00dc626812cd7890bb88e72067f28c.bro"", ""amount"": 0.0149}, {""token"": ""coin"", ""amount"": 32.068917916475}], ""status"": ""success""}","1749843811"
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,"7fP84Eydz12kSHHVV12kFHFdzraAD5k4Cqh3sUKpIMA","{""keyset"": {""keys"": [""d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd""], ""pred"": ""keys-all""}, ""in-amount"": 10.01, ""out-amount"": 4339.06143}","""(kdlaunch.kdswap-exchange.swap-exact-out (read-decimal 'out-amount) (read-decimal 'in-amount) [coin n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI] \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" (read-keyset 'keyset))""","{""data"": [{""token"": ""coin"", ""amount"": 9.999999996352}, {""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": 4339.06143}], ""status"": ""success""}","1749824694"
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,"5a9je4W5H5CkcoeaGe_Cqu_cfaHIZH9tcg1ffl-yMjU","{""keyset"": {""keys"": [""d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd""], ""pred"": ""keys-all""}, ""in-amount"": 4415.4181, ""out-amount"": 10.10416}","""(kdlaunch.kdswap-exchange.swap-exact-in (read-decimal 'in-amount) (read-decimal 'out-amount) [n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI coin] \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" (read-keyset 'keyset))""","{""data"": [{""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": 4415.4181}, {""token"": ""coin"", ""amount"": 10.114270907128}], ""status"": ""success""}","1749825110"
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,m82sU9vJ9CubsDCj7RV9jsohTmkk_ViE7VE6QstYUto,"{""keyset"": {""keys"": [""d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd""], ""pred"": ""keys-all""}, ""in-amount"": 20.02, ""out-amount"": 9231.84646}","""(kaddex.exchange.swap-exact-out (read-decimal 'out-amount) (read-decimal 'in-amount) [coin kdlaunch.kdswap-token] \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\""(read-keyset 'keyset)) ""","{""data"": [{""token"": ""coin"", ""amount"": 19.999999998938}, {""token"": ""kdlaunch.kdswap-token"", ""amount"": 9231.84646}], ""status"": ""success""}","1749825726"
k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78,Voj5AfOPj9B41jc54lEfvjry9yPyRvrmrb2S2dcJQO8,"{""a"": 3209, ""b"": 23.922164634267, ""ks"": {""keys"": [""b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78""], ""pred"": ""keys-all""}}","""(kdlaunch.kdswap-exchange.swap-exact-in (read-decimal 'a) (read-decimal 'b) [free.crankk01 coin] \""k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78\"" \""k:b46e0140cf675d78c3b88953a5942c737e1f330ff700bbda741fff85fd5ffa78\"" (read-keyset 'ks))""","{""data"": [{""token"": ""free.crankk01"", ""amount"": 3209}, {""token"": ""coin"", ""amount"": 23.924557089975}], ""status"": ""success""}","1749781909"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,"1jPUn4n4z5kP0QMZVnRPFGbP06HxilxOlYN1WXHZdK8","{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kdlaunch.kdswap-exchange.swap-exact-in\n        0.002284319356\n        5.223970267461\n        [n_582fed11af00dc626812cd7890bb88e72067f28c.bro coin]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        n_582fed11af00dc626812cd7890bb88e72067f28c.bro.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 0.000016102956)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788150"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,Dl2fzVE48y5ONmtMsGYWmvRnMv45X0QWJnUsZKz1RJ8,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kdlaunch.kdswap-exchange.swap-exact-in\n        18050881628.461141786301\n        12.297451467201\n        [free.kishu-ken coin]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        free.kishu-ken.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 127246899.697107746731)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788202"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,S_FA7kBIeTZvs8WjeWlvw4GjJoZq3vlADvZZpwFClu4,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kdlaunch.kdswap-exchange.swap-exact-in\n        6.537630779117\n        2930.9876037593\n        [coin n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        coin.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 0.046086017576)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788231"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,GB_ctN3C3g5is02IVxlHBBT2p5v0XoNAIqp1Kh5VCeY,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kdlaunch.kdswap-exchange.swap-exact-in\n        7066.666501506233\n        14.542733902929\n        [free.maga coin]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        free.maga.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 49.8153731224)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788309"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,VaS8N4JEsA20U-X7IoeXm0ilBlvdLc424KJEULnkbSA,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d""], ""pred"": ""keys-all""}}","""      (\n        kdlaunch.kdswap-exchange.swap-exact-in\n        7.461127846021\n        3272.5614372746\n        [coin n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI]\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        coin.transfer-create\n        \""k:13ebe6a6a5ebde1ab649c619080089870ebd19edfb91fe50a65b7e0ddd20e32d\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 0.052596067393)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749788421"
